c0,c1,c2,c3,c4,c5,c6
0.0,0.0,0.13,0.02,0.0,0.0,0.01
0.0,0.0,0.01,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.01,0.0,0.0,0.0
0.0,0.0,0.03,0.01,0.0,0.0,0.01
0.0,0.0,0.03,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.0,0.0,0.0,0.0
0.0,0.0,0.12,0.02,0.0,0.0,0.0
0.0,0.0,0.05,0.01,0.0,0.0,0.0
0.0,0.0,0.04,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.06,0.0,0.0,0.0,0.0
0.0,0.02,0.01,0.01,0.0,0.0,0.0
0.0,0.0,0.16,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.3,0.07,0.0,0.0,0.0
0.0,0.0,0.18,0.01,0.0,0.0,0.0
0.0,0.0,0.06,0.0,0.0,0.0,0.0
0.0,0.0,0.02,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.0,0.0,0.0,0.0
0.0,0.0,0.03,0.02,0.0,0.0,0.0
0.0,0.0,0.01,0.01,0.02,0.0,0.01
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.08,0.0,0.0,0.0,0.0
0.0,0.0,0.07,0.02,0.0,0.0,0.0
0.0,0.0,0.1,0.01,0.0,0.0,0.0
0.0,0.0,0.09,0.0,0.0,0.0,0.0
0.0,0.0,0.04,0.0,0.0,0.0,0.0
0.0,0.0,0.11,0.01,0.0,0.0,0.0
0.0,0.0,0.07,0.01,0.0,0.0,0.0
0.0,0.0,0.04,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.04,0.0,0.0,0.0,0.0
0.0,0.0,0.04,0.01,0.0,0.0,0.0
0.0,0.01,0.0,0.01,0.01,0.0,0.0
0.0,0.0,0.09,0.0,0.0,0.0,0.0
0.0,0.0,0.07,0.0,0.0,0.0,0.0
0.0,0.0,0.04,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.03,0.01,0.0,0.0
0.0,0.0,0.02,0.0,0.0,0.0,0.0
0.0,0.0,0.08,0.0,0.0,0.0,0.0
0.0,0.0,0.06,0.01,0.0,0.0,0.0
0.0,0.01,0.1,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.01,0.0,0.0,0.0
0.0,0.0,0.03,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.01,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02,0.0,0.0,0.0,0.0
0.0,0.0,0.14,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.12,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.02,0.0,0.0,0.0
0.0,0.0,0.02,0.0,0.0,0.0,0.0
0.0,0.0,0.03,0.0,0.0,0.0,0.0
0.0,0.0,0.08,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.02,0.03,0.0,0.0,0.0
0.0,0.0,0.02,0.01,0.0,0.0,0.0
0.0,0.0,0.04,0.0,0.0,0.0,0.0
0.0,0.0,0.07,0.01,0.0,0.0,0.0
0.0,0.02,0.12,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.08,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0,0.0,0.0
0.0,0.0,0.06,0.0,0.0,0.0,0.0
0.0,0.0,0.08,0.0,0.0,0.0,0.0
0.0,0.0,0.03,0.0,0.02,0.0,0.0
0.0,0.0,0.07,0.0,0.0,0.0,0.0
0.0,0.0,0.06,0.0,0.0,0.0,0.0
0.0,0.0,0.07,0.02,0.0,0.0,0.0
0.0,0.0,0.03,0.0,0.0,0.0,0.01
0.0,0.0,0.03,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.0,0.0,0.0,0.0
0.0,0.0,0.15,0.0,0.0,0.0,0.0
0.0,0.0,0.16,0.01,0.0,0.0,0.0
0.0,0.0,0.01,0.02,0.0,0.0,0.0
0.0,0.0,0.11,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0,0.0,0.0
0.0,0.0,0.18,0.0,0.0,0.0,0.0
0.0,0.01,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.02,0.01,0.0,0.0
0.0,0.0,0.06,0.0,0.0,0.0,0.0
0.0,0.0,0.01,0.02,0.0,0.0,0.0
0.0,0.0,0.05,0.01,0.0,0.0,0.0
0.0,0.0,0.03,0.02,0.0,0.0,0.0
0.0,0.0,0.03,0.0,0.0,0.0,0.0
0.0,0.0,0.04,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.01,0.0,0.0,0.0
0.0,0.01,0.01,0.05,0.0,0.0,0.0
0.0,0.0,0.07,0.0,0.0,0.0,0.0
0.0,0.0,0.05,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06,0.01,0.0,0.0
#0.0,0.0,0.0,0.0,0.0,0.0,0.0
